prediction,x,y,pres_abs,variables,plot,test_auc
0.13614953084034712,-120.8298111454555,35.746659201518575,1,all,1,0.7129435107376284
0.057361690333791605,-120.8302154065797,35.74625494039439,1,all,1,0.7129435107376284
0.20948543511219017,-120.82829516623978,35.74686133208068,1,all,1,0.7129435107376284
0.11995558409647866,-120.82859836208293,35.74686133208068,1,all,1,0.7129435107376284
0.0887178707075156,-120.82880049264503,35.74696239736172,1,all,1,0.7129435107376284
0.06694446117817572,-120.82910368848816,35.74706346264277,1,all,1,0.7129435107376284
0.08376554603447016,-120.8294068843313,35.74686133208068,1,all,1,0.7129435107376284
0.07967271037259029,-120.82920475376922,35.74706346264277,1,all,1,0.7129435107376284
0.09722068076039138,-120.82950794961235,35.74686133208068,1,all,1,0.7129435107376284
0.13902232967704367,-120.8294068843313,35.747164527923815,1,all,1,0.7129435107376284
0.1773733683789513,-120.82971008017445,35.74696239736172,1,all,1,0.7129435107376284
0.17589871486264652,-120.8296090148934,35.747164527923815,1,all,1,0.7129435107376284
0.13748373232344605,-120.82991221073655,35.747265593204865,1,all,1,0.7129435107376284
0.07472038569954484,-120.83011434129864,35.74706346264277,1,all,1,0.7129435107376284
0.060337715822607975,-120.83041753714178,35.74686133208068,1,all,1,0.7129435107376284
0.22828281915271367,-120.8302154065797,35.747366658485916,1,all,1,0.7129435107376284
0.10697290446598957,-120.83031647186074,35.74746772376696,1,all,1,0.7129435107376284
0.060337715822607975,-120.83051860242283,35.746659201518575,0,all,1,0.7129435107376284
0.06496816199394664,-120.82809303567768,35.74655813623753,0,all,1,0.7129435107376284
0.06694446117817572,-120.82900262320712,35.74645707095648,0,all,1,0.7129435107376284
0.035178254343026884,-120.83031647186074,35.746153875113336,0,all,1,0.7129435107376284
0.057042350881021754,-120.82991221073655,35.745042157021814,0,all,1,0.7129435107376284
0.07401332232887196,-120.8294068843313,35.747366658485916,0,all,1,0.7129435107376284
0.03500880148181281,-120.82880049264503,35.74484002645972,0,all,1,0.7129435107376284
0.04629040087083625,-120.83082179826597,35.7458506792702,0,all,1,0.7129435107376284
